City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Trogir,HR,43.5125,16.2517,50.05,76,0,6.91,clear sky
331,Kruisfontein,ZA,-34.0033,24.7314,62.89,82,0,3.33,clear sky
332,Shihezi,CN,44.3,86.0333,18.82,90,91,4.09,overcast clouds
333,Along,IN,28.1667,94.7667,81.59,32,40,1.83,scattered clouds
334,Khandagayty,RU,50.7333,92.05,2.97,91,96,4.21,overcast clouds
335,Singaraja,ID,-8.112,115.0882,84.04,75,43,4.0,scattered clouds
336,Torbay,CA,47.6666,-52.7314,20.68,89,15,9.42,few clouds
337,Kawalu,ID,-7.3817,108.2082,87.78,53,51,3.91,broken clouds
338,Naze,JP,28.3667,129.4833,59.92,61,100,19.77,overcast clouds
339,Pacific Grove,US,36.6177,-121.9166,53.65,70,0,4.0,clear sky
340,Talara,PE,-4.5772,-81.2719,76.24,84,100,7.87,overcast clouds
341,Azuga,RO,45.45,25.55,30.13,93,96,5.5,light snow
342,Bongouanou,CI,6.6486,-4.1992,69.44,98,52,1.88,broken clouds
343,Muisne,EC,0.6,-80.0333,75.29,91,36,4.09,scattered clouds
